
Name                                               AppID
Signal                                             org.whispersystems.signal-desktop
SmartThings                                        SAMSUNGELECTRONICSCO.LTD.SmartThingsWindows_3c1yjt4zspk6g!App
Snapdragon Control Panel                           AdrenoControlPanel_qej3vay549n00!App
Snipping Tool                                      Microsoft.ScreenSketch_8wekyb3d8bbwe!App
Sound Recorder                                     Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe!App
Speedtest                                          Ookla.SpeedtestbyOokla_43tkc6nmykmb6!App
Spotify                                            SpotifyAB.SpotifyMusic_zpdnekdrzrea0!Spotify
Steps Recorder                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe
Sticky Notes                                       Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App
Sticky Notes (new)                                 Microsoft.Office.OneNote.MemoryPreview
Sysinternals Suite                                 Microsoft.SysinternalsSuite_8wekyb3d8bbwe!SysinternalsSuite
System Configuration                               {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe
System Information                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe
System Monitor (Ubuntu-22.04)                      Microsoft.AutoGenerated.{CE3076AF-431D-FFE7-DEC1-D79862F83768}
Task Manager                                       Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}
Task Manager (Ubuntu-22.04)                        Microsoft.AutoGenerated.{39E90190-06FD-4DF5-0B65-9A5925DA3301}
Task Scheduler                                     Microsoft.AutoGenerated.{C1C6F8AC-40A3-0F5C-146F-65A9DC70BBB4}
TCPView                                            Microsoft.SysinternalsSuite_8wekyb3d8bbwe!tcpview
Terminal                                           Microsoft.WindowsTerminal_8wekyb3d8bbwe!App
Terminal Preview                                   Microsoft.WindowsTerminalPreview_8wekyb3d8bbwe!App
TeXdoctk (Ubuntu-22.04)                            Microsoft.AutoGenerated.{9B197956-2AEA-7E3D-BBB2-549D7EF6929A}
Text Editor Settings (Ubuntu-22.04)                Microsoft.AutoGenerated.{9D9DA981-AE85-534D-75D6-583C1CEECD7E}
Thunar File Manager (Ubuntu-22.04)                 Microsoft.AutoGenerated.{1C28A7F4-5DB4-F47F-DA2B-9EB86DE70EE3}
TurboTax 2023                                      {6D809377-6AF0-444B-8957-A3773F02200E}\TurboTax\Individual 2023\64bit\TurboTax.exe
TurboTax 2024                                      {6D809377-6AF0-444B-8957-A3773F02200E}\TurboTax\Individual 2024\64bit\TurboTax.exe
TurboTax 2025                                      {6D809377-6AF0-444B-8957-A3773F02200E}\TurboTax\Individual 2025\64bit\TurboTax.exe
Ubuntu 22.04.5 LTS                                 CanonicalGroupLimited.Ubuntu22.04LTS_79rhkp1fndgsc!ubuntu2204
Uninstall Zoom Workplace                           Microsoft.AutoGenerated.{D17CCC81-7C65-75BE-666E-096B85F3AEF5}
VideoLAN website                                   https://www.videolan.org/
Visual Studio Code                                 Microsoft.VisualStudioCode
VLC media player                                   {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VideoLAN\VLC\vlc.exe
VLC media player (Ubuntu-22.04)                    Microsoft.AutoGenerated.{86FC05B8-6DDF-6404-5729-0FC3366846AC}
VMMap                                              Microsoft.SysinternalsSuite_8wekyb3d8bbwe!vmmap
Voice access                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\voiceaccess.exe
Weather                                            Microsoft.BingWeather_8wekyb3d8bbwe!App
WinDbg                                             Microsoft.WinDbg_8wekyb3d8bbwe!Microsoft.WinDbg
Windows Backup                                     MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WindowsBackup
Windows Defender Firewall with Advanced Security   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc
Windows Media Player Legacy                        Microsoft.Windows.MediaPlayer32
Windows PowerShell                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe
Windows PowerShell (x64)                           Microsoft.AutoGenerated.{335D0CCA-C277-6F8D-054D-EE7B73085310}
Windows PowerShell (x86)                           {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\powershell.exe
Windows PowerShell ISE                             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\PowerShell_ISE.exe
Windows PowerShell ISE (x64)                       Microsoft.AutoGenerated.{D166E37E-8D35-4D62-F453-2A635F6EBE34}
